H_max,B_max,B_r,μ_r,H_c
"455,9334256","1,524867725","1,386243386","2661,465713","134,0980664"
"423,0604827","1,386243386","1,247619048","2607,517084","132,2064008"
"381,3261378","1,247619048","1,108994709","2603,607763","108,9503251"
"354,1702284","1,108994709","0,9703703704","2491,767738","108,9754549"
"320,1538788","0,9703703704","0,8317460317","2411,953303","116,4195923"
"293,5696728","0,9703703704","0,6931216931","2630,367769","88,07090184"
"261,2684332","0,8317460317","0,5544973545","2533,342637","97,97566246"
"232,9691172","0,6931216931","0,4158730159","2367,561524","116,4845586"
"207,5283179","0,6931216931","0,2772486772","2657,799783","83,01132715"
"174,0836716","0,5544973545","0,2772486772","2534,729251","87,0418358"
