t1(s),t2(s),l
"5,5","38,2","1,6"
"8,9","79,9",
16,"27,9",
"8,8","24,9",
"4,1","48,7",
"9,9","28,1",
"20,1","37,9",
"4,3","45,1",
"19,6",40,
"3,7","41,6",
"5,2","32,2",
"13,6","30,4",
18,"56,6",
"21,8","47,2",
12,"33,5",
"25,9","14,7",
"29,7","21,8",
"8,3","49,1",
"21,2","48,2",
"6,4","65,7",
12,"90,6",
"3,9","36,1",
"7,7","49,4",
"4,3",70,
"2,4","54,8",
"6,8","71,7",
"3,2","17,5",
"7,3","43,2",
"2,6","32,9",
"5,5","75,3",
"3,4","55,5",
"7,1","53,3",
"2,6","41,3",
5,"38,6",
"3,1","38,2",
"14,7","43,9",
"7,5","43,3",
"7,7","46,1",
"2,8","52,4",
"3,6",24,
"4,4","44,8",
"21,7","43,2",
"8,1","53,6",
"3,1","53,7",
"5,6","44,9",
"3,4","21,8",
"2,2","64,9",
"8,5","29,9",
"5,6","24,9",
"3,7","40,4",
