I [A],U [V],czas [s],temp zimnego,temp cieplego,start I [A],moc [W],moc maks tracona,wymiary kotła [mm],obj komory [mm]
1,4,0,"23,8","24,7",1,4,53W,82x56x125,574000
,,30,"22,3","25,1","1,5",6,,,
,,60,"21,1",25,2,8,,,
,,90,"20,2","25,2","2,5",10,,,
,,120,20,"25,5",3,12,,,
,,150,"19,7","25,6","3,5",14,,,
,,180,"19,6","25,4",4,16,,,
,,210,"19,3","25,1","4,5",18,,,
,,240,"18,7","24,8",5,20,,,
,,270,"18,5","24,5","5,5",22,,,
,,300,"18,4","24,3",6,24,,,
,,330,"17,6","24,3","6,5",26,,,
,,360,"17,5","24,2",7,28,,,
,,390,"17,6","24,2","7,5",30,,,
,,420,"17,4","24,5",8,32,,,
,,450,"16,4","24,4","8,5",34,,,
,,480,"16,4","24,3",9,36,,,
,,510,"16,3","24,1","9,5",38,,,
,,540,"16,4",24,10,40,,,
,,570,"15,8","24,2","10,5",42,,,
,,600,"15,6","24,5",11,44,,,
,,630,"15,5","24,7","11,5",46,,,
,,660,"15,5","24,5",12,48,,,
,,690,"15,4","24,4","12,5",50,,,
,,720,"15,3","24,4",13,52,,,
,,750,"15,4","24,2","13,5",54,,,
,,780,"14,7","24,2",14,56,,,
,,810,"14,6","24,1","14,5",58,,,
,,840,"14,5","24,1",15,60,,,
,,870,"14,3","24,1","15,5",62,,,
,,900,"14,4","24,5",16,64,,,
,,930,"14,1","24,7","16,5",66,,,
,,960,"14,3","24,5",17,68,,,
,,990,"14,2","24,4","17,5",70,,,
